numericId,firstName,lastName,firstNameAr,lastNameAr,profileUrl,note
164,"Aouania","Koussay",,,https://examanet.com/fr/professeurs/164,firstNameAr is Latin: "Aouania"; lastNameAr is Latin: "Koussay"
165,"Mejda","Elmejdi",,,https://examanet.com/fr/professeurs/165,firstNameAr is Latin: "Mejda"; lastNameAr is Latin: "Elmejdi"
166,"Hajer","Boudan",,,https://examanet.com/fr/professeurs/166,firstNameAr is Latin: "Hajer"; lastNameAr is Latin: "Boudan"
544,"Hubbard","Hubbard",,,https://examanet.com/fr/professeurs/544,firstNameAr is Latin: "Hubbard"; lastNameAr is Latin: "Hubbard"
545,"Hafedh","Jandoubi",,,https://examanet.com/fr/professeurs/545,firstNameAr is Latin: "Hafedh"; lastNameAr is Latin: "Jandoubi"
546,"Noura","Triki",,,https://examanet.com/fr/professeurs/546,firstNameAr is Latin: "Noura"; lastNameAr is Latin: "Triki"
548,"kouki","islam",,,https://examanet.com/fr/professeurs/548,firstNameAr is Latin: "kouki"; lastNameAr is Latin: "islam"
552,"Faisal","Ghribi",,,https://examanet.com/fr/professeurs/552,firstNameAr is Latin: "Faisal"; lastNameAr is Latin: "Ghribi"
556,"Hanen","Kortas",,,https://examanet.com/fr/professeurs/556,firstNameAr is Latin: "Hanen"; lastNameAr is Latin: "Kortas"
558,"ghariani","mohamed",,,https://examanet.com/fr/professeurs/558,firstNameAr is Latin: "ghariani"; lastNameAr is Latin: "mohamed"
559,"ghassen","messaoudi",,,https://examanet.com/fr/professeurs/559,firstNameAr is Latin: "ghassen"; lastNameAr is Latin: "messaoudi"
560,"Afef","Jlel",,,https://examanet.com/fr/professeurs/560,firstNameAr is Latin: "Afef"; lastNameAr is Latin: "Jlel"
542,"Bill","Bill",,,https://examanet.com/fr/professeurs/542,firstNameAr is Latin: "Bill"; lastNameAr is Latin: "Bill"
561,"Oueslati","Ali",,,https://examanet.com/fr/professeurs/561,firstNameAr is Latin: "Oueslati"; lastNameAr is Latin: "Ali"
562,"Lazhar","Founi",,,https://examanet.com/fr/professeurs/562,firstNameAr is Latin: "Lazhar"; lastNameAr is Latin: "Founi"
563,"Chiheb","ben Dai",,,https://examanet.com/fr/professeurs/563,firstNameAr is Latin: "Chiheb"; lastNameAr is Latin: "ben Dai"
564,"Leila","Khoualdia",,,https://examanet.com/fr/professeurs/564,firstNameAr is Latin: "Leila"; lastNameAr is Latin: "Khoualdia"
565,"Nadia","Belghith Abid",,,https://examanet.com/fr/professeurs/565,firstNameAr is Latin: "Nadia"; lastNameAr is Latin: "Belghith Abid"
566,"Mounir","bel haj Salah",,,https://examanet.com/fr/professeurs/566,firstNameAr is Latin: "Mounir"; lastNameAr is Latin: "bel haj Salah"
579,"Hadhami Ben","Hmida",,,https://examanet.com/fr/professeurs/579,firstNameAr is Latin: "Hadhami Ben"; lastNameAr is Latin: "Hmida"
167,"Sawsel","Essid",,,https://examanet.com/fr/professeurs/167,firstNameAr is Latin: "Sawsel"; lastNameAr is Latin: "Essid"
168,"Maweheb","Galby",,,https://examanet.com/fr/professeurs/168,firstNameAr is Latin: "Maweheb"; lastNameAr is Latin: "Galby"
169,"Ladhari","Cokri",,,https://examanet.com/fr/professeurs/169,firstNameAr is Latin: "Ladhari"; lastNameAr is Latin: "Cokri"
568,"Fethi","Letaief",,,https://examanet.com/fr/professeurs/568,firstNameAr is Latin: "Fethi"; lastNameAr is Latin: "Letaief"
569,"Samira","Nouali",,,https://examanet.com/fr/professeurs/569,firstNameAr is Latin: "Samira"; lastNameAr is Latin: "Nouali"
570,"Galbi","Maweheb",,,https://examanet.com/fr/professeurs/570,firstNameAr is Latin: "Galbi"; lastNameAr is Latin: "Maweheb"
620,"Ben","Romdhane Safa",,,https://examanet.com/fr/professeurs/620,firstNameAr is Latin: "Ben"; lastNameAr is Latin: "Romdhane Safa"
176,"kamel","jebrani",,,https://examanet.com/fr/professeurs/176,firstNameAr is Latin: "kamel"; lastNameAr is Latin: "jebrani"
177,"Baligh","abidi",,,https://examanet.com/fr/professeurs/177,firstNameAr is Latin: "Baligh"; lastNameAr is Latin: "abidi"
607,"Khlifi","Anis",,,https://examanet.com/fr/professeurs/607,firstNameAr is Latin: "Khlifi"; lastNameAr is Latin: "Anis"
608,"Hanchi","Imen",,,https://examanet.com/fr/professeurs/608,firstNameAr is Latin: "Hanchi"; lastNameAr is Latin: "Imen"
609,"fulla","zeineb",,,https://examanet.com/fr/professeurs/609,firstNameAr is Latin: "fulla"; lastNameAr is Latin: "zeineb"
611,"Ghanmi","Naoufel",,,https://examanet.com/fr/professeurs/611,firstNameAr is Latin: "Ghanmi"; lastNameAr is Latin: "Naoufel"
612,"Zrour","Saber",,,https://examanet.com/fr/professeurs/612,firstNameAr is Latin: "Zrour"; lastNameAr is Latin: "Saber"
613,"ouertatani","khadija",,,https://examanet.com/fr/professeurs/613,firstNameAr is Latin: "ouertatani"; lastNameAr is Latin: "khadija"
614,"Roufaa","Nasr",,,https://examanet.com/fr/professeurs/614,firstNameAr is Latin: "Roufaa"; lastNameAr is Latin: "Nasr"
629,"Saoussen","Trabelsy",,,https://examanet.com/fr/professeurs/629,firstNameAr is Latin: "Saoussen"; lastNameAr is Latin: "Trabelsy"
630,"Kamel","Gharbi",,,https://examanet.com/fr/professeurs/630,firstNameAr is Latin: "Kamel"; lastNameAr is Latin: "Gharbi"
617,"seif","messaoud",,,https://examanet.com/fr/professeurs/617,firstNameAr is Latin: "seif"; lastNameAr is Latin: "messaoud"
635,"Al","Gharsalli",,,https://examanet.com/fr/professeurs/635,firstNameAr is Latin: "Al"
626,"Rayen","Rayen",,,https://examanet.com/fr/professeurs/626,firstNameAr is Latin: "Rayen"
634,"Najah","Najah",,,https://examanet.com/fr/professeurs/634,firstNameAr is Latin: "Najah"
632,"el","Kamel",,,https://examanet.com/fr/professeurs/632,firstNameAr is Latin: "el"
618,"chedly","maamouri",,,https://examanet.com/fr/professeurs/618,firstNameAr is Latin: "chedly"; lastNameAr is Latin: "maamouri"
175,"Aymen","Biz",,,https://examanet.com/fr/professeurs/175,firstNameAr is Latin: "Aymen"; lastNameAr is Latin: "Biz"
638,"Ben","Alaya Aymen",,,https://examanet.com/fr/professeurs/638,firstNameAr is Latin: "Ben"; lastNameAr is Latin: "Alaya Aymen"
639,"Moez","Mohamed Sghaier",,,https://examanet.com/fr/professeurs/639,firstNameAr is Latin: "Moez"; lastNameAr is Latin: "Mohamed Sghaier"
183,"Masmoudi","Sofien",,,https://examanet.com/fr/professeurs/183,firstNameAr is Latin: "Masmoudi"; lastNameAr is Latin: "Sofien"
184,"Mohamed","Bacha",,,https://examanet.com/fr/professeurs/184,firstNameAr is Latin: "Mohamed"; lastNameAr is Latin: "Bacha"
621,"Khardani","Salem",,,https://examanet.com/fr/professeurs/621,firstNameAr is Latin: "Khardani"; lastNameAr is Latin: "Salem"
6,"Imed","Naceur Et Dorsaf",,,https://examanet.com/fr/professeurs/6,firstNameAr is Latin: "Imed"; lastNameAr is Latin: "Naceur Et Dorsaf"
625,"Habib","Mestiri",,,https://examanet.com/fr/professeurs/625,firstNameAr is Latin: "Habib"; lastNameAr is Latin: "Mestiri"
628,"fouzai","hichem",,,https://examanet.com/fr/professeurs/628,firstNameAr is Latin: "fouzai"; lastNameAr is Latin: "hichem"
631,"Bouraoui","Boukadida",,,https://examanet.com/fr/professeurs/631,firstNameAr is Latin: "Bouraoui"; lastNameAr is Latin: "Boukadida"
633,"ridha","jemaa",,,https://examanet.com/fr/professeurs/633,firstNameAr is Latin: "ridha"; lastNameAr is Latin: "jemaa"
180,"Alya","Alya",,,https://examanet.com/fr/professeurs/180,firstNameAr is Latin: "Alya"
386,"Aissa","Imed",,,https://examanet.com/fr/professeurs/386,firstNameAr is Latin: "Aissa"; lastNameAr is Latin: "Imed"
555,"Lilia","Louati",,,https://examanet.com/fr/professeurs/555,firstNameAr is Latin: "Lilia"; lastNameAr is Latin: "Louati"
636,"saidi","mongi",,,https://examanet.com/fr/professeurs/636,firstNameAr is Latin: "saidi"; lastNameAr is Latin: "mongi"
229,"Lasaad","jawedi",,,https://examanet.com/fr/professeurs/229,firstNameAr is Latin: "Lasaad"; lastNameAr is Latin: "jawedi"
187,"Masmoudi","Houssem",,,https://examanet.com/fr/professeurs/187,firstNameAr is Latin: "Masmoudi"; lastNameAr is Latin: "Houssem"
189,"Amamou","Mohamed Hatem",,,https://examanet.com/fr/professeurs/189,firstNameAr is Latin: "Amamou"; lastNameAr is Latin: "Mohamed Hatem"
190,"Riadh","Mossa",,,https://examanet.com/fr/professeurs/190,firstNameAr is Latin: "Riadh"; lastNameAr is Latin: "Mossa"
640,"ben","hassen oussama",,,https://examanet.com/fr/professeurs/640,firstNameAr is Latin: "ben"; lastNameAr is Latin: "hassen oussama"
659,"abbedi","othmen",,,https://examanet.com/fr/professeurs/659,firstNameAr is Latin: "abbedi"; lastNameAr is Latin: "othmen"
641,"mezhoud","elaid",,,https://examanet.com/fr/professeurs/641,firstNameAr is Latin: "mezhoud"; lastNameAr is Latin: "elaid"
644,"Dridi","ghassen",,,https://examanet.com/fr/professeurs/644,firstNameAr is Latin: "Dridi"; lastNameAr is Latin: "ghassen"
661,"Yassin","Yassin",,,https://examanet.com/fr/professeurs/661,firstNameAr is Latin: "Yassin"
645,"Ali","Dham",,,https://examanet.com/fr/professeurs/645,firstNameAr is Latin: "Ali"; lastNameAr is Latin: "Dham"
646,"Aimen","Hammemi",,,https://examanet.com/fr/professeurs/646,firstNameAr is Latin: "Aimen"; lastNameAr is Latin: "Hammemi"
647,"Moez","Hamdaoui",,,https://examanet.com/fr/professeurs/647,firstNameAr is Latin: "Moez"; lastNameAr is Latin: "Hamdaoui"
648,"samir","souissi",,,https://examanet.com/fr/professeurs/648,firstNameAr is Latin: "samir"; lastNameAr is Latin: "souissi"
656,"kallel","med",,,https://examanet.com/fr/professeurs/656,firstNameAr is Latin: "kallel"; lastNameAr is Latin: "med"
881,"Haddaji","Haddaji",,,https://examanet.com/fr/professeurs/881,firstNameAr is Latin: "Haddaji"
662,"Shaker","Shaker",,,https://examanet.com/fr/professeurs/662,firstNameAr is Latin: "Shaker"
649,"Aimen","Hamemi",,,https://examanet.com/fr/professeurs/649,firstNameAr is Latin: "Aimen"; lastNameAr is Latin: "Hamemi"
650,"sassi","mejda",,,https://examanet.com/fr/professeurs/650,firstNameAr is Latin: "sassi"; lastNameAr is Latin: "mejda"
651,"ellafi","mohamed",,,https://examanet.com/fr/professeurs/651,firstNameAr is Latin: "ellafi"; lastNameAr is Latin: "mohamed"
652,"Athmouni","Abid",,,https://examanet.com/fr/professeurs/652,firstNameAr is Latin: "Athmouni"; lastNameAr is Latin: "Abid"
653,"Nasri","wissem",,,https://examanet.com/fr/professeurs/653,firstNameAr is Latin: "Nasri"; lastNameAr is Latin: "wissem"
